type,s,x,y,z,yaw,slope,curvature,segment_id,lon,lat
origin,,,,,,,,,113.9354742,22.53983989
point,0.000,0.000,0.000,13.026,1.48608388,0.62933114,0.00000000,0,113.935474200,22.539839890
point,2.000,0.071,0.833,13.552,1.33822851,1.02441696,0.66970815,1,113.935474888,22.539847375
point,4.000,0.150,0.634,13.693,1.07424671,2.16288973,0.64125246,2,113.935475659,22.539845581
point,6.000,0.261,1.184,14.415,-1.06696784,0.24402843,0.65890661,3,113.935476736,22.539850526
point,8.000,0.823,-0.588,14.033,-1.24652681,0.10550004,0.01262720,4,113.935482207,22.539834611
point,10.000,1.149,-1.458,14.709,1.50966705,0.62074696,0.72902767,5,113.935485375,22.539826789
point,12.000,0.889,0.491,14.704,1.67589116,0.31635078,0.78157353,6,113.935482849,22.539844299
point,14.000,1.075,-0.757,14.932,-1.65322311,-0.01655733,0.09401734,7,113.935484655,22.539833091
point,16.000,0.627,-2.685,14.651,-1.75125423,-0.12618403,0.02391376,8,113.935480297,22.539815767
point,18.000,0.365,-4.650,14.433,-1.78381221,-0.06210694,0.04047742,9,113.935477747,22.539798118
point,20.000,-0.202,-6.519,14.407,-1.92121571,-0.41441071,0.03436696,10,113.935472232,22.539781328
point,22.000,-0.762,-7.734,13.072,-2.06204023,-0.29121379,0.02578460,11,113.935466785,22.539770418
point,24.000,-1.681,-9.284,13.494,-2.02246588,0.29468233,0.04127026,12,113.935457847,22.539756493
point,26.000,-2.349,-11.003,14.143,-1.72831582,0.11208181,0.10425400,13,113.935451358,22.539741046
point,28.000,-2.259,-12.918,13.907,-1.54500243,-0.07674426,0.01099871,14,113.935452232,22.539723846
point,30.000,-2.253,-14.689,13.860,-1.73180210,0.20804879,0.08153895,15,113.935452283,22.539707934
point,32.000,-2.822,-16.386,14.638,-1.85493943,-0.01885680,0.01945915,16,113.935446754,22.539692689
point,34.000,-3.260,-18.137,13.792,-1.79124218,-0.31377963,0.01245993,17,113.935442488,22.539676959
point,36.000,-3.612,-19.912,13.504,-1.76750741,-0.08960968,0.00056364,18,113.935439070,22.539661020
point,38.000,-3.989,-21.791,13.459,-1.46812076,-0.14063601,0.15180062,19,113.935435407,22.539644140
point,40.000,-3.241,-23.514,12.995,-1.28034336,-0.12806472,0.05771001,20,113.935442680,22.539628658
point,42.000,-2.886,-25.479,12.966,-1.29717181,0.02993540,0.04785010,21,113.935446129,22.539611009
point,44.000,-2.174,-27.316,13.113,-1.19096594,-0.11047744,0.00502499,22,113.935453058,22.539594507
point,46.000,-1.450,-29.075,12.538,-1.05551192,-0.23908003,0.06455030,23,113.935460093,22.539578702
point,48.000,-0.368,-30.504,12.237,-1.29379318,-0.14183354,0.17692921,24,113.935470617,22.539565870
point,50.000,-0.485,-32.470,12.037,-1.51634798,-0.10799431,0.05724972,25,113.935469479,22.539548211
point,52.000,-0.157,-34.391,11.817,-1.54014875,-0.17560763,0.06972707,26,113.935472678,22.539530954
point,54.000,-0.368,-36.312,11.362,-1.58804385,-0.20913121,0.04575935,27,113.935470625,22.539513689
point,56.000,-0.223,-38.266,11.006,-1.60588836,-0.02289875,0.05701253,28,113.935472027,22.539496139
point,58.000,-0.498,-40.032,11.277,-1.56583360,-0.02904462,0.07746339,29,113.935469355,22.539480279
point,60.000,-0.205,-41.900,10.901,-1.47044616,0.11844519,0.02861681,30,113.935472203,22.539463498
point,62.000,-0.133,-43.655,11.708,-1.61830523,0.23591364,0.04231463,31,113.935472903,22.539447733
point,64.000,-0.380,-45.564,11.766,-1.72252015,-0.10207218,0.01167352,32,113.935470508,22.539430582
point,66.000,-0.718,-47.480,11.313,-1.50065466,-0.15189845,0.12364997,33,113.935467215,22.539413371
point,68.000,-0.117,-49.295,11.198,-1.49381757,-0.05102570,0.12197027,34,113.935473058,22.539397067
point,70.000,-0.434,-51.161,11.125,-1.59687920,-0.02646178,0.06933596,35,113.935469976,22.539380307
point,72.000,-0.218,-53.138,11.096,-1.56078102,-0.03284560,0.05034182,36,113.935472083,22.539362545
point,74.000,-0.395,-55.057,10.997,-1.65686625,0.01618115,0.00307624,37,113.935470355,22.539345302
point,76.000,-0.551,-56.997,11.159,-1.74493408,0.09276318,0.04672395,38,113.935468844,22.539327876
point,78.000,-1.072,-58.904,11.359,-1.82651519,-0.04050368,0.00580828,39,113.935463773,22.539310744
point,80.000,-1.510,-60.667,11.005,-1.79399156,-0.26144655,0.01027435,40,113.935459512,22.539294910
point,82.000,-1.871,-62.423,10.416,-1.65377725,-0.14076396,0.05691688,41,113.935456006,22.539279136
point,84.000,-1.821,-64.403,10.478,-1.52016735,0.09239167,0.01293483,42,113.935456490,22.539261350
point,86.000,-1.673,-66.318,10.776,-1.53641426,0.25854165,0.02163726,43,113.935457925,22.539244146
point,88.000,-1.691,-68.172,11.453,-1.53123208,0.21790361,0.02395831,44,113.935457751,22.539227488
point,90.000,-1.523,-70.123,11.606,-1.57669531,-0.09763801,0.04652135,45,113.935459390,22.539209965
point,92.000,-1.714,-72.031,11.076,-1.47206537,-0.08177319,0.10118351,46,113.935457530,22.539192822
point,94.000,-1.159,-73.795,11.304,-1.29376553,0.00730690,0.01352919,47,113.935462928,22.539176975
point,96.000,-0.674,-75.687,11.104,-1.33721561,-0.13057780,0.00864655,48,113.935467641,22.539159978
point,98.000,-0.263,-77.560,10.799,-1.50460847,-0.10057760,0.07344135,49,113.935471639,22.539143160
point,100.000,-0.418,-79.551,10.714,-1.59992527,0.10689656,0.02498203,50,113.935470132,22.539125270
point,102.000,-0.376,-81.435,11.214,-1.59339395,0.08730406,0.02207110,51,113.935470541,22.539108343
point,104.000,-0.505,-83.380,11.049,-1.50634857,-0.13119978,0.06501292,52,113.935469290,22.539090871
point,106.000,-0.126,-85.305,10.705,-1.36197986,-0.04296352,0.00735042,53,113.935472970,22.539073579
point,108.000,0.312,-87.234,10.879,-1.41465173,0.05992915,0.03365952,54,113.935477233,22.539056251
point,110.000,0.487,-89.204,10.941,-1.53503688,-0.13916112,0.02743273,55,113.935478939,22.539038556
point,112.000,0.449,-91.055,10.347,-1.70862501,-0.16002083,0.05681553,56,113.935478563,22.539021925
point,114.000,-0.033,-92.957,10.335,-1.76790378,-0.10103868,0.02565279,57,113.935473877,22.539004845
point,116.000,-0.315,-94.880,9.953,-1.64698228,-0.15785739,0.03432581,58,113.935471135,22.538987572
point,118.000,-0.332,-96.864,9.716,-1.46618882,0.04191652,0.05838071,59,113.935470976,22.538969743
point,120.000,0.083,-98.675,10.113,-1.40741874,0.16121382,0.03019219,60,113.935475010,22.538953481
point,122.000,0.287,-100.616,10.329,-1.44051688,0.00140199,0.01279675,61,113.935476990,22.538936043
point,124.000,0.594,-102.573,10.119,-1.48379113,-0.04022394,0.03427982,62,113.935479978,22.538918459
point,126.000,0.631,-104.561,10.170,-1.51647056,-0.02407042,0.01822932,63,113.935480337,22.538900604
point,128.000,0.806,-106.467,10.025,-1.42042907,-0.07765821,0.02959185,64,113.935482038,22.538883484
point,130.000,1.201,-108.320,9.875,-1.60276832,-0.00803905,0.11841225,65,113.935485876,22.538866836
point,132.000,0.686,-110.226,9.995,-1.72768044,-0.05344420,0.05432738,66,113.935480868,22.538849710
point,134.000,0.597,-112.137,9.668,-1.66303557,0.00498886,0.02280750,67,113.935480003,22.538832544
point,136.000,0.333,-114.043,10.014,-1.45408899,0.10933378,0.12532230,68,113.935477434,22.538815424
point,138.000,1.037,-115.895,10.082,-1.28132542,0.01962640,0.03695589,69,113.935484288,22.538798786
point,140.000,1.464,-117.841,10.092,-1.43318969,0.02270160,0.04013058,70,113.935488435,22.538781310
point,142.000,1.568,-119.727,10.170,-1.49372039,-0.05768878,0.01078585,71,113.935489449,22.538764367
point,144.000,1.758,-121.657,9.871,-1.37678713,-0.19605882,0.04788836,72,113.935491301,22.538747029
point,146.000,2.311,-123.510,9.414,-1.31085397,-0.02429097,0.01534490,73,113.935496679,22.538730379
point,148.000,2.729,-125.308,9.779,-1.31571102,0.13286788,0.01295133,74,113.935500747,22.538714226
point,150.000,3.266,-127.173,9.917,-1.17070033,0.09434884,0.06056080,75,113.935505969,22.538697476
point,152.000,4.213,-128.817,10.138,-1.04564195,0.09413559,0.00128721,76,113.935515179,22.538682707
point,154.000,5.164,-130.449,10.273,-1.11641113,-0.01312960,0.03593676,77,113.935524429,22.538668050
point,156.000,5.902,-132.273,10.088,-1.29017695,-0.17441492,0.05236652,78,113.935531598,22.538651661
point,158.000,6.234,-134.161,9.599,-1.34923143,-0.11189059,0.02337788,79,113.935534836,22.538634700
point,160.000,6.748,-136.033,9.657,-1.22391505,0.00755663,0.03927385,80,113.935539836,22.538617887
point,162.000,7.555,-137.814,9.629,-1.27253245,0.14106755,0.06473807,81,113.935547681,22.538601881
point,164.000,7.866,-139.667,10.193,-1.51688878,0.16029581,0.05754645,82,113.935550704,22.538585236
point,166.000,7.751,-141.453,10.213,-1.32341810,0.10430464,0.14884413,83,113.935549591,22.538569195
point,168.000,8.743,-143.140,10.567,-0.93205048,-0.05957495,0.05489484,84,113.935559233,22.538554043
point,170.000,10.021,-144.509,9.986,-0.80908019,-0.32173586,0.00539403,85,113.935571662,22.538541744
point,172.000,11.323,-145.846,9.364,-0.84322973,-0.13154506,0.02186203,86,113.935584332,22.538529736
point,174.000,12.573,-147.375,9.481,-1.06004670,0.12833413,0.08788760,87,113.935596484,22.538516000
point,176.000,13.209,-149.210,9.859,-0.99252616,0.35744786,0.13299356,88,113.935602670,22.538499510
point,178.000,14.474,-150.288,10.724,-0.86168420,0.55633858,0.08318933,89,113.935614975,22.538489834
point,180.000,15.223,-151.558,11.580,-0.95126930,0.37154932,0.03854377,90,113.935622261,22.538478421
point,182.000,16.427,-153.026,11.974,-0.72588928,-0.02475641,0.08024920,91,113.935633971,22.538465233
point,184.000,17.984,-154.008,11.488,-0.68716561,0.15584015,0.06520415,92,113.935649111,22.538456410
point,186.000,19.123,-155.238,12.518,-0.81120314,0.42443353,0.00602271,93,113.935660190,22.538445362
point,188.000,20.382,-156.534,12.967,-0.71296026,0.20184542,0.04257099,94,113.935672440,22.538433722
